,std,mean,median,max,min
ALDH6A1 (4329),1718.2982815042658,4644.9632,4726.0,9059.0,137.0
ALDH7A1 (501),1818.3926559168424,4489.5712,4546.0,8853.0,26.0
ALDH8A1 (64577),1746.7945120251052,3962.4784,3898.0,8783.0,168.0
ALDOA (226),355.0882867862872,10112.1688,10199.0,10552.0,7231.0
ALDOC (230),2042.3607377348953,5473.6928,5695.0,9223.0,214.0
ALG1 (56052),403.4601067369674,9673.8304,9732.0,10482.0,7128.0
ALG10 (84920),2129.1928135605635,3921.1776,3838.0,8542.0,36.0
ALG11 (440138),187.46714567884786,10238.8504,10285.0,10552.5,8813.0
ALG12 (79087),1599.9590854432208,7303.4528,7689.0,10141.0,531.0
ALG13 (79868),274.2475336186755,10254.333333333334,10475.0,,
ALG14 (199857),270.0856935426426,9778.4384,9810.0,10315.0,7166.0
ALG1L (200810),379.40753966394254,9182.576,9219.0,10264.0,6579.0
ALG2 (85365),247.9442064720951,10157.6304,10199.0,10538.0,8326.0
ALG3 (10195),2183.536721125286,2291.5088,1519.0,9432.0,9.0
ALG5 (29880),1975.9948125347148,6151.7616,6552.0,9570.0,472.0
ALG6 (29929),1794.369676433082,6804.3616,7289.0,9537.0,215.0
ALG8 (79053),1517.3298417285544,7554.7424,7993.0,9856.0,1012.0
ALG9 (79796),2311.2141819576245,4389.9824,4318.0,9971.0,125.0
ALK (238),1754.1533311295284,4757.8224,4816.0,9980.0,33.0
ALKBH1 (8846),1987.0165003573343,5615.568,6074.0,9321.0,124.0
ALKBH4 (54784),1880.75796533997,4420.3664,4439.0,8778.0,29.0
ALKBH5 (54890),2049.8421335300122,4709.0064,4763.0,9661.0,28.0
ALKBH6 (84964),1860.3843644106423,2458.6176,1983.0,8640.0,18.0
ALKBH7 (84266),1940.0502519357321,4352.2096,4417.0,9227.0,18.0
ALKBH8 (91801),1933.5231406557518,2301.9888,1757.0,8698.0,3.0
ALLC (55821),1791.2446569383694,3366.1344,3200.0,8545.0,41.0
ALOX15 (246),1955.0229969897987,4556.7152,4541.0,9416.0,111.0
ALOX15B (247),1088.5830553498763,827.1616,403.0,8867.0,1.0
ALOXE3 (59344),1849.8994621080608,4978.0304,5218.0,8756.0,32.0
ALS2CR12 (130540),1699.3514652089168,2686.544,2391.0,8761.0,32.0
ALX1 (8092),1976.2217273515666,4478.7808,4508.0,9334.0,137.0
ALX3 (257),1400.2985069162198,7178.3776,7571.0,9452.0,331.0
ALX4 (60529),1912.985742615789,4616.8848,4627.0,8804.0,124.0
ALYREF (10189),628.9360993100845,8914.6928,9010.0,10232.0,5154.0
AMBN (258),1713.241124552061,3458.4864,3309.0,8583.0,130.0
AMBP (259),1981.274548906231,3731.2912,3540.0,8884.0,34.0
AMBRA1 (55626),3436.3804912343303,4774.0536,5244.0,9950.0,1.0
AMD1 (262),2478.8808496288016,6410.5968,7050.0,10063.0,54.0
AMER2 (219287),1488.588481604,6736.552,6989.0,9351.0,288.0
AMER3 (205147),1775.560477852788,3456.152,3328.0,8461.0,60.0
AMFR (267),1944.9514273046407,5858.7536,6192.0,9401.0,51.0
AMHR2 (269),1663.894398203912,3232.2752,2979.0,8660.0,69.0
AMMECR1L (83607),1604.9971636287742,2385.576,1994.0,8801.0,19.0
AMN1 (196394),1349.545841882961,1456.3344,1046.0,8569.0,14.0
AMPD1 (270),1950.2702653235342,2679.7856,2295.0,8346.0,8.0
AMPD2 (271),1366.2878967310828,1879.3536,1561.0,9084.0,12.0
AMPD3 (272),1675.7606718236257,2512.136,2127.0,8690.0,51.0
AMY2A (279),1934.923134929959,6046.6624,6415.0,9381.0,895.0
AMZ1 (155185),1871.8245340363803,4348.9088,4329.0,8946.0,142.0
ANAPC1 (64682),320.6597929350173,9634.2544,9662.0,10362.0,7616.0
ANAPC10 (10393),791.8868519441721,8451.376,8622.0,9690.0,1641.0
ANAPC11 (51529),156.98554054352772,10315.8704,10362.0,10549.5,9702.0
ANAPC13 (25847),666.1939616111657,9077.512,9207.0,10236.0,3941.0
ANAPC15 (25906),971.7540627120813,8982.444,9228.0,10496.5,2770.0
ANAPC2 (29882),221.26730186731393,10088.4616,10126.0,10501.0,8927.0
ANAPC4 (29945),245.76456082016423,10093.2328,10125.0,10546.5,8739.0
ANAPC5 (51433),359.26227425456756,9469.4896,9523.0,10402.0,6662.0
ANAPC7 (51434),1945.286426082947,5298.3408,5604.0,9666.0,71.0
ANG (283),1952.331772644425,4917.2128,5160.0,9130.0,168.0
ANGEL1 (23357),1543.2792044697285,3287.424,3112.0,8962.0,103.0
ANGPT1 (284),1727.1223117971965,2162.9504,1725.0,8707.0,26.0
ANGPTL3 (27329),1537.783355591201,2302.0592,1986.0,8581.0,39.0
ANGPTL6 (83854),1909.0745085686588,4610.7504,4720.0,9242.0,69.0
ANGPTL8 (55908),1718.8274376819231,2476.8192,2094.0,8560.0,22.0
ANHX (647589),2057.680355122343,4405.7376,4499.0,9129.0,51.0
ANKDD1A (348094),1707.7729191357184,2828.096,2537.0,9507.0,75.0
ANKFY1 (51479),2166.6418760767156,3531.6512,3297.0,9606.0,42.0
ANKH (56172),2136.514652464352,3808.5488,3465.0,9625.0,145.0
ANKHD1 (54882),2353.6465949910194,4617.2576,4735.0,9033.0,10.0
ANKIB1 (54467),1664.0069103499263,3197.648,2986.0,9233.0,107.0
ANKK1 (255239),1564.5487481846496,2290.5584,1912.0,8343.0,69.0
ANKLE1 (126549),2015.7196328918467,4865.2672,5047.0,9209.0,101.0
ANKLE2 (23141),107.65594934552934,10458.184,10498.0,10558.0,9922.0
